Resume ID,Skills,Years of Experience,Education,Certifications,Projects,Job Role
1064,"Data Visualization, Pandas, Machine Learning, Scikit-learn, SQL, Python, R",3,M.Tech IT,"Oracle SQL Expert, DevOps Foundation, TensorFlow Developer Certificate","Sentiment Analysis, Sales Forecasting",Data Scientist
1065,"Requirement Gathering, UML, Excel, Stakeholder Communication, Power BI",3,B.Tech CSE,"AWS Certified Solutions Architect, TensorFlow Developer Certificate","Market Research Analysis, Sales Dashboard",Business Analyst
1066,"SIEM, Risk Assessment, Network Security, Python, Cryptography, Firewalls, Penetration Testing",3,M.Tech IT,React Certification,Vulnerability Assessment,Cybersecurity Analyst
1067,"SQL, Backup and Recovery, Security, MySQL, Oracle, Data Modeling",5,B.E. Information Technology,"DevOps Foundation, AWS Certified Solutions Architect",Database Optimization,Database Administrator
1068,"NLP, TensorFlow, PyTorch, Python, Data Preprocessing, Machine Learning, Computer Vision",10,B.E. Information Technology,Certified Ethical Hacker,Image Classification,AI/ML Engineer
1069,"NLP, Deep Learning, Machine Learning, PyTorch, TensorFlow, Data Preprocessing",8,B.Sc Computer Science,"AWS Certified Solutions Architect, Microsoft Azure Fundamentals","Image Classification, Chatbot Development",AI/ML Engineer
1070,"Java, SQL, Git, Data Structures, Algorithms, Python, System Design, C++",8,B.E. Information Technology,"Microsoft Azure Fundamentals, Scrum Master, Oracle SQL Expert",E-commerce Backend,Software Engineer
1071,"Data Modeling, Backup and Recovery, NoSQL, Security, MySQL, SQL, Oracle",3,B.Tech CSE,Tableau Desktop Specialist,"Database Optimization, Data Backup System",Database Administrator
1072,"Data Analysis, SQL, Tableau, Requirement Gathering, UML",2,B.E. Information Technology,"Oracle SQL Expert, React Certification","Product Requirement Doc, Market Research Analysis",Business Analyst
1073,"Java, SQL, Data Structures, Git, System Design",1,M.Tech IT,React Certification,REST API Development,Software Engineer
1074,"Responsive Design, MongoDB, CSS, React, Node.js",7,MCA,"Oracle SQL Expert, Google Data Analytics, React Certification",E-commerce Frontend,Web Developer
1075,"Database Tuning, SQL, Data Modeling, NoSQL, Backup and Recovery, Security, Oracle",4,MCA,"Certified Ethical Hacker, React Certification",Data Backup System,Database Administrator
1076,"SQL, Tableau, Power BI, Data Analysis, Requirement Gathering, UML",3,B.Tech CSE,Google Data Analytics,"Product Requirement Doc, Sales Dashboard",Business Analyst
1077,"AWS, CI/CD, Kubernetes, Monitoring Tools, Docker, Ansible, Linux",2,MCA,"Google Data Analytics, Scrum Master, DevOps Foundation","Kubernetes Cluster Deployment, CI/CD Pipeline Setup",DevOps Engineer
1078,"Python, SQL, Git, System Design, Data Structures, Algorithms, Java",5,B.E. Information Technology,"Certified Ethical Hacker, TensorFlow Developer Certificate, DevOps Foundation","E-commerce Backend, Library Management System",Software Engineer
1079,"HTML, JavaScript, Express, Responsive Design, CSS, MongoDB, React, Node.js",8,B.E. Information Technology,Google Data Analytics,"Portfolio Website, E-commerce Frontend",Web Developer
1080,"Machine Learning, PyTorch, Data Preprocessing, Python, NLP, Computer Vision, TensorFlow, Deep Learning",10,B.Tech CSE,Certified Ethical Hacker,"Chatbot Development, Image Classification",AI/ML Engineer
1081,"Data Preprocessing, TensorFlow, Machine Learning, NLP, Computer Vision, PyTorch, Python",5,B.Tech CSE,TensorFlow Developer Certificate,"Object Detection System, Image Classification",AI/ML Engineer
1082,"React Native, UI/UX Design, iOS, Flutter, Kotlin, Android",10,B.Sc Computer Science,Oracle SQL Expert,"ToDo App, Fitness Tracker",Mobile App Developer
1083,"Azure, Kubernetes, Google Cloud, Cloud Security, Docker, Terraform, Linux, AWS",7,M.Tech IT,Oracle SQL Expert,Cloud Cost Optimization,Cloud Engineer
1084,"JavaScript, React, Express, Responsive Design, MongoDB",3,B.Tech CSE,"TensorFlow Developer Certificate, Microsoft Azure Fundamentals, Scrum Master","E-commerce Frontend, Blog CMS",Web Developer
1085,"SQL, Requirement Gathering, Stakeholder Communication, UML, Data Analysis, Excel, Power BI",0,B.Tech CSE,DevOps Foundation,Sales Dashboard,Business Analyst
1086,"Express, HTML, MongoDB, Node.js, JavaScript, CSS, Responsive Design",0,M.Tech IT,"Scrum Master, Google Data Analytics, Certified Ethical Hacker",Blog CMS,Web Developer
1087,"React, JavaScript, Responsive Design, Node.js, CSS, HTML, Express, MongoDB",7,MCA,"Google Data Analytics, Scrum Master, TensorFlow Developer Certificate",Blog CMS,Web Developer
1088,"Docker, CI/CD, Terraform, Kubernetes, Monitoring Tools",4,MCA,"TensorFlow Developer Certificate, Google Data Analytics","Infrastructure Automation, CI/CD Pipeline Setup",DevOps Engineer
1089,"CI/CD, Kubernetes, Monitoring Tools, Ansible, Linux, AWS",1,B.Tech CSE,DevOps Foundation,"Kubernetes Cluster Deployment, CI/CD Pipeline Setup",DevOps Engineer
1090,"Android, Java, Swift, Flutter, iOS, Kotlin",9,MCA,"Certified Ethical Hacker, TensorFlow Developer Certificate, Tableau Desktop Specialist","Chat Application, ToDo App",Mobile App Developer
1091,"Linux, Docker, Ansible, Kubernetes, CI/CD",8,M.Tech IT,Microsoft Azure Fundamentals,Infrastructure Automation,DevOps Engineer
1092,"Terraform, Google Cloud, Linux, AWS, Azure, Cloud Security, Kubernetes, Docker",6,B.Sc Computer Science,"Google Data Analytics, Scrum Master, Tableau Desktop Specialist","Multi-cloud Deployment, Serverless Architecture",Cloud Engineer
1093,"Monitoring Tools, Docker, Kubernetes, Terraform, CI/CD, Linux",6,B.Tech CSE,Oracle SQL Expert,Kubernetes Cluster Deployment,DevOps Engineer
1094,"Data Modeling, Security, Oracle, Backup and Recovery, Database Tuning, SQL, NoSQL",7,MCA,"Tableau Desktop Specialist, Oracle SQL Expert, Certified Ethical Hacker",Data Backup System,Database Administrator
1095,"Power BI, UML, Stakeholder Communication, Excel, Tableau, SQL, Requirement Gathering",2,B.Sc Computer Science,Scrum Master,Product Requirement Doc,Business Analyst
1096,"MySQL, Security, Backup and Recovery, SQL, Data Modeling, NoSQL, Database Tuning",8,B.Tech CSE,AWS Certified Solutions Architect,"Data Backup System, Database Optimization",Database Administrator
1097,"MySQL, Security, Backup and Recovery, Data Modeling, Oracle, Database Tuning, NoSQL",7,B.Sc Computer Science,"Google Data Analytics, AWS Certified Solutions Architect, React Certification","Data Backup System, Database Optimization",Database Administrator
1098,"Google Cloud, Docker, Cloud Security, Terraform, AWS, Linux",0,MCA,"Scrum Master, Oracle SQL Expert, Tableau Desktop Specialist","Cloud Cost Optimization, Multi-cloud Deployment",Cloud Engineer
1099,"Terraform, AWS, Cloud Security, Linux, Azure, Google Cloud",8,M.Tech IT,"AWS Certified Solutions Architect, Google Data Analytics","Cloud Cost Optimization, Serverless Architecture",Cloud Engineer
1100,"Firewalls, Penetration Testing, Incident Response, Python, Risk Assessment, Cryptography, SIEM",10,B.Sc Computer Science,"AWS Certified Solutions Architect, Microsoft Azure Fundamentals, Oracle SQL Expert","Vulnerability Assessment, Firewall Configuration",Cybersecurity Analyst
1101,"JavaScript, CSS, React, Node.js, Express, Responsive Design, MongoDB, HTML",1,B.E. Information Technology,"Microsoft Azure Fundamentals, Certified Ethical Hacker",Blog CMS,Web Developer
1102,"Data Visualization, Python, SQL, Pandas, Statistics",10,B.Sc Computer Science,"DevOps Foundation, Scrum Master, React Certification",Customer Segmentation,Data Scientist
1103,"Pandas, Data Visualization, Scikit-learn, Statistics, Machine Learning, R, SQL",4,MCA,"TensorFlow Developer Certificate, Certified Ethical Hacker, Google Data Analytics","Sentiment Analysis, Sales Forecasting",Data Scientist
1104,"MongoDB, Responsive Design, CSS, JavaScript, React, Express",6,M.Tech IT,"AWS Certified Solutions Architect, Oracle SQL Expert, Certified Ethical Hacker","E-commerce Frontend, Blog CMS",Web Developer
1105,"CI/CD, Linux, Docker, Terraform, Ansible, AWS, Kubernetes",10,MCA,"Certified Ethical Hacker, DevOps Foundation, AWS Certified Solutions Architect",Infrastructure Automation,DevOps Engineer
1106,"MongoDB, HTML, Express, JavaScript, Responsive Design, Node.js",5,MCA,"Scrum Master, Oracle SQL Expert, AWS Certified Solutions Architect","E-commerce Frontend, Portfolio Website",Web Developer
1107,"MongoDB, React, CSS, Node.js, Express, HTML",6,B.Tech CSE,Certified Ethical Hacker,"Portfolio Website, Blog CMS",Web Developer
1108,"Google Cloud, Kubernetes, AWS, Docker, Cloud Security, Linux, Azure, Terraform",5,B.Tech CSE,"AWS Certified Solutions Architect, DevOps Foundation, Scrum Master",Multi-cloud Deployment,Cloud Engineer
1109,"Kotlin, UI/UX Design, Swift, Android, React Native, iOS",5,MCA,Microsoft Azure Fundamentals,"Chat Application, Fitness Tracker",Mobile App Developer
1110,"Computer Vision, Python, Machine Learning, NLP, TensorFlow",6,B.Sc Computer Science,"AWS Certified Solutions Architect, React Certification, Oracle SQL Expert","Image Classification, Object Detection System",AI/ML Engineer
1111,"Python, PyTorch, NLP, TensorFlow, Computer Vision, Data Preprocessing",2,MCA,"Microsoft Azure Fundamentals, TensorFlow Developer Certificate",Image Classification,AI/ML Engineer
1112,"Stakeholder Communication, Tableau, Excel, SQL, Power BI, Requirement Gathering, UML",6,B.E. Information Technology,Certified Ethical Hacker,"Product Requirement Doc, Market Research Analysis",Business Analyst
1113,"Kubernetes, Terraform, AWS, CI/CD, Docker, Monitoring Tools, Linux",6,M.Tech IT,"Microsoft Azure Fundamentals, Certified Ethical Hacker","Kubernetes Cluster Deployment, CI/CD Pipeline Setup",DevOps Engineer
1114,"Google Cloud, Terraform, Azure, AWS, Kubernetes",9,B.Tech CSE,Scrum Master,Cloud Cost Optimization,Cloud Engineer
1115,"Cloud Security, Google Cloud, Kubernetes, Azure, Linux, Docker, Terraform",0,MCA,Certified Ethical Hacker,"Multi-cloud Deployment, Serverless Architecture",Cloud Engineer
1116,"Power BI, UML, Tableau, Stakeholder Communication, Data Analysis, Requirement Gathering",10,M.Tech IT,React Certification,Market Research Analysis,Business Analyst
1117,"Computer Vision, PyTorch, Data Preprocessing, TensorFlow, NLP, Deep Learning, Python, Machine Learning",7,MCA,Microsoft Azure Fundamentals,Image Classification,AI/ML Engineer
1118,"Requirement Gathering, Stakeholder Communication, SQL, Power BI, Data Analysis",7,B.E. Information Technology,Certified Ethical Hacker,Product Requirement Doc,Business Analyst
1119,"Terraform, Linux, AWS, Kubernetes, Docker",8,MCA,AWS Certified Solutions Architect,"CI/CD Pipeline Setup, Infrastructure Automation",DevOps Engineer
1120,"TensorFlow, Machine Learning, Computer Vision, Python, Data Preprocessing, NLP, Deep Learning, PyTorch",4,B.Tech CSE,"Oracle SQL Expert, AWS Certified Solutions Architect",Image Classification,AI/ML Engineer
1121,"PyTorch, Data Preprocessing, TensorFlow, NLP, Machine Learning, Python, Deep Learning, Computer Vision",4,B.Tech CSE,Certified Ethical Hacker,"Image Classification, Chatbot Development",AI/ML Engineer
1122,"Cloud Security, Google Cloud, Linux, AWS, Azure, Docker",7,B.E. Information Technology,"Oracle SQL Expert, AWS Certified Solutions Architect","Serverless Architecture, Cloud Cost Optimization",Cloud Engineer
1123,"R, Python, Data Visualization, Pandas, Scikit-learn",0,B.Sc Computer Science,"React Certification, Certified Ethical Hacker",Sentiment Analysis,Data Scientist
1124,"Machine Learning, Data Visualization, SQL, Statistics, Pandas",5,B.E. Information Technology,"TensorFlow Developer Certificate, Microsoft Azure Fundamentals, Scrum Master",Sentiment Analysis,Data Scientist
1125,"Scikit-learn, SQL, Python, Statistics, Machine Learning, Pandas, R, Data Visualization",0,M.Tech IT,"Scrum Master, TensorFlow Developer Certificate",Sales Forecasting,Data Scientist
1126,"Pandas, Python, Machine Learning, R, SQL, Data Visualization, Statistics",2,B.Sc Computer Science,"Certified Ethical Hacker, React Certification, Microsoft Azure Fundamentals",Customer Segmentation,Data Scientist
1127,"Tableau, Data Analysis, SQL, Power BI, UML, Stakeholder Communication, Requirement Gathering",10,B.E. Information Technology,"Microsoft Azure Fundamentals, Certified Ethical Hacker",Sales Dashboard,Business Analyst
1128,"Kotlin, iOS, UI/UX Design, Swift, Flutter, Java, Android, React Native",3,B.E. Information Technology,Tableau Desktop Specialist,"ToDo App, Chat Application",Mobile App Developer
1129,"Statistics, R, Machine Learning, Python, Pandas, Data Visualization, SQL, Scikit-learn",4,B.E. Information Technology,"Tableau Desktop Specialist, Scrum Master, Certified Ethical Hacker","Sales Forecasting, Sentiment Analysis",Data Scientist
1130,"Penetration Testing, Cryptography, Risk Assessment, Network Security, SIEM, Firewalls, Incident Response",8,B.E. Information Technology,"Certified Ethical Hacker, Scrum Master, DevOps Foundation","Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
1131,"Ansible, Monitoring Tools, Docker, Terraform, Linux",9,MCA,"Scrum Master, Tableau Desktop Specialist","CI/CD Pipeline Setup, Infrastructure Automation",DevOps Engineer
1132,"Incident Response, Firewalls, Risk Assessment, Cryptography, Python, Penetration Testing, Network Security, SIEM",0,B.Tech CSE,"Google Data Analytics, Oracle SQL Expert, Certified Ethical Hacker","Vulnerability Assessment, Security Audit",Cybersecurity Analyst
1133,"Machine Learning, Deep Learning, TensorFlow, NLP, PyTorch",4,M.Tech IT,"Oracle SQL Expert, AWS Certified Solutions Architect","Image Classification, Chatbot Development",AI/ML Engineer
1134,"JavaScript, React, MongoDB, Responsive Design, Node.js, CSS",2,M.Tech IT,"AWS Certified Solutions Architect, DevOps Foundation","E-commerce Frontend, Blog CMS",Web Developer
1135,"SQL, System Design, Git, C++, Java, Python, Data Structures",5,B.Tech CSE,"AWS Certified Solutions Architect, Scrum Master, Certified Ethical Hacker",REST API Development,Software Engineer
1136,"Penetration Testing, Firewalls, Network Security, Cryptography, Risk Assessment",0,B.Sc Computer Science,"Google Data Analytics, DevOps Foundation","Vulnerability Assessment, Firewall Configuration",Cybersecurity Analyst
1137,"NoSQL, Security, Oracle, SQL, Data Modeling, Backup and Recovery, Database Tuning",10,MCA,"DevOps Foundation, Oracle SQL Expert",Data Backup System,Database Administrator
1138,"Cryptography, Penetration Testing, Firewalls, Incident Response, Python, SIEM, Network Security, Risk Assessment",8,B.Sc Computer Science,"Microsoft Azure Fundamentals, AWS Certified Solutions Architect, Scrum Master","Security Audit, Firewall Configuration",Cybersecurity Analyst
1139,"Incident Response, Python, Network Security, Cryptography, Firewalls, SIEM",4,B.E. Information Technology,"Google Data Analytics, React Certification","Vulnerability Assessment, Firewall Configuration",Cybersecurity Analyst
1140,"NoSQL, Backup and Recovery, Security, MySQL, SQL",7,MCA,"AWS Certified Solutions Architect, TensorFlow Developer Certificate, Scrum Master",Inventory DB Design,Database Administrator
1141,"Computer Vision, PyTorch, Deep Learning, NLP, Machine Learning, Data Preprocessing",8,B.Sc Computer Science,"DevOps Foundation, React Certification, TensorFlow Developer Certificate","Image Classification, Chatbot Development",AI/ML Engineer
1142,"Deep Learning, Computer Vision, PyTorch, TensorFlow, Python, Machine Learning, Data Preprocessing",8,B.Sc Computer Science,"Microsoft Azure Fundamentals, React Certification, Google Data Analytics",Chatbot Development,AI/ML Engineer
1143,"Terraform, Azure, Docker, Google Cloud, Linux, Cloud Security, AWS",8,B.Tech CSE,"Oracle SQL Expert, Certified Ethical Hacker, AWS Certified Solutions Architect",Serverless Architecture,Cloud Engineer
1144,"Network Security, Risk Assessment, SIEM, Incident Response, Penetration Testing, Python, Firewalls, Cryptography",2,M.Tech IT,AWS Certified Solutions Architect,Security Audit,Cybersecurity Analyst
1145,"AWS, Azure, Google Cloud, Kubernetes, Docker",6,B.Sc Computer Science,"Google Data Analytics, Oracle SQL Expert, DevOps Foundation",Multi-cloud Deployment,Cloud Engineer
1146,"Express, Node.js, JavaScript, React, CSS",1,MCA,"Certified Ethical Hacker, Microsoft Azure Fundamentals",Blog CMS,Web Developer
1147,"UML, Excel, Tableau, Power BI, Requirement Gathering, Stakeholder Communication",9,B.E. Information Technology,"DevOps Foundation, Tableau Desktop Specialist",Market Research Analysis,Business Analyst
1148,"Express, HTML, React, MongoDB, CSS",9,B.Tech CSE,React Certification,Portfolio Website,Web Developer
1149,"Cloud Security, Google Cloud, AWS, Terraform, Linux, Kubernetes, Docker",0,M.Tech IT,Certified Ethical Hacker,Cloud Cost Optimization,Cloud Engineer
1150,"TensorFlow, NLP, Data Preprocessing, PyTorch, Deep Learning, Computer Vision, Machine Learning",5,B.Sc Computer Science,"Oracle SQL Expert, Certified Ethical Hacker","Chatbot Development, Object Detection System",AI/ML Engineer
1151,"Security, MySQL, Database Tuning, SQL, NoSQL",5,B.Tech CSE,"Oracle SQL Expert, Microsoft Azure Fundamentals, TensorFlow Developer Certificate",Inventory DB Design,Database Administrator
1152,"React, CSS, JavaScript, Express, MongoDB, HTML, Responsive Design",7,M.Tech IT,Certified Ethical Hacker,"Portfolio Website, E-commerce Frontend",Web Developer
1153,"AWS, Azure, Linux, Docker, Kubernetes, Cloud Security, Google Cloud, Terraform",6,MCA,Certified Ethical Hacker,"Cloud Cost Optimization, Serverless Architecture",Cloud Engineer
1154,"TensorFlow, Machine Learning, NLP, Computer Vision, Deep Learning",7,B.Tech CSE,"Certified Ethical Hacker, Oracle SQL Expert, Google Data Analytics","Chatbot Development, Object Detection System",AI/ML Engineer
1155,"Network Security, Firewalls, Python, Cryptography, SIEM, Risk Assessment, Penetration Testing",9,B.Sc Computer Science,"React Certification, AWS Certified Solutions Architect","Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
1156,"Statistics, Python, Data Visualization, SQL, R",5,MCA,"DevOps Foundation, Certified Ethical Hacker",Sales Forecasting,Data Scientist
1157,"AWS, Cloud Security, Google Cloud, Linux, Kubernetes",8,B.E. Information Technology,"Oracle SQL Expert, React Certification, TensorFlow Developer Certificate","Serverless Architecture, Multi-cloud Deployment",Cloud Engineer
1158,"Data Visualization, Pandas, SQL, Statistics, Python, Scikit-learn",4,B.Tech CSE,Oracle SQL Expert,Sentiment Analysis,Data Scientist
1159,"MongoDB, JavaScript, HTML, Responsive Design, React, Node.js",4,B.E. Information Technology,"Microsoft Azure Fundamentals, Google Data Analytics","Portfolio Website, E-commerce Frontend",Web Developer
1160,"Computer Vision, Data Preprocessing, Python, NLP, Deep Learning, Machine Learning",5,M.Tech IT,"AWS Certified Solutions Architect, Tableau Desktop Specialist, Microsoft Azure Fundamentals","Object Detection System, Image Classification",AI/ML Engineer
1161,"Git, System Design, SQL, C++, Python",3,MCA,Microsoft Azure Fundamentals,REST API Development,Software Engineer
1162,"HTML, MongoDB, Express, JavaScript, Responsive Design, CSS, Node.js",10,B.E. Information Technology,"React Certification, Tableau Desktop Specialist",Blog CMS,Web Developer
1163,"Git, Java, Python, SQL, Data Structures",10,M.Tech IT,React Certification,"Library Management System, E-commerce Backend",Software Engineer
1164,"Firewalls, Network Security, Cryptography, Risk Assessment, Penetration Testing",0,B.Tech CSE,"React Certification, TensorFlow Developer Certificate","Vulnerability Assessment, Security Audit",Cybersecurity Analyst
1165,"Oracle, Database Tuning, SQL, MySQL, Data Modeling, Backup and Recovery",9,B.Sc Computer Science,TensorFlow Developer Certificate,Data Backup System,Database Administrator
1166,"Stakeholder Communication, Requirement Gathering, SQL, Tableau, UML, Power BI, Data Analysis, Excel",3,B.E. Information Technology,"AWS Certified Solutions Architect, Tableau Desktop Specialist, Google Data Analytics",Market Research Analysis,Business Analyst
1167,"Kubernetes, Terraform, Azure, Docker, Google Cloud, Cloud Security",1,M.Tech IT,"Google Data Analytics, AWS Certified Solutions Architect, Certified Ethical Hacker","Cloud Cost Optimization, Multi-cloud Deployment",Cloud Engineer
1168,"Excel, Stakeholder Communication, Tableau, SQL, Requirement Gathering, Power BI, Data Analysis, UML",5,B.Tech CSE,"React Certification, Tableau Desktop Specialist, AWS Certified Solutions Architect",Sales Dashboard,Business Analyst
1169,"HTML, CSS, React, Node.js, JavaScript",7,M.Tech IT,"Oracle SQL Expert, DevOps Foundation, Microsoft Azure Fundamentals","E-commerce Frontend, Portfolio Website",Web Developer
1170,"AWS, Kubernetes, Linux, Terraform, Docker, Google Cloud",1,MCA,"Google Data Analytics, Microsoft Azure Fundamentals, DevOps Foundation","Cloud Cost Optimization, Serverless Architecture",Cloud Engineer
1171,"TensorFlow, NLP, Python, Deep Learning, Data Preprocessing, Computer Vision, Machine Learning, PyTorch",2,M.Tech IT,Tableau Desktop Specialist,Chatbot Development,AI/ML Engineer
1172,"Swift, UI/UX Design, Android, Flutter, React Native, Java",8,B.E. Information Technology,"Certified Ethical Hacker, Google Data Analytics, React Certification",ToDo App,Mobile App Developer
1173,"Responsive Design, HTML, Node.js, MongoDB, React",2,B.Tech CSE,"Scrum Master, Google Data Analytics","E-commerce Frontend, Blog CMS",Web Developer
1174,"Python, Data Visualization, Machine Learning, Statistics, SQL, Pandas, Scikit-learn",3,MCA,"TensorFlow Developer Certificate, DevOps Foundation",Sales Forecasting,Data Scientist
1175,"NoSQL, Data Modeling, Backup and Recovery, Database Tuning, MySQL, SQL",7,B.Tech CSE,"Tableau Desktop Specialist, React Certification, Scrum Master",Data Backup System,Database Administrator
1176,"Linux, Docker, Ansible, Terraform, AWS, Kubernetes, CI/CD, Monitoring Tools",10,B.Sc Computer Science,"React Certification, TensorFlow Developer Certificate, Google Data Analytics","Kubernetes Cluster Deployment, Infrastructure Automation",DevOps Engineer
1177,"Computer Vision, Deep Learning, Python, Machine Learning, NLP, PyTorch, TensorFlow",0,MCA,"TensorFlow Developer Certificate, Scrum Master","Chatbot Development, Object Detection System",AI/ML Engineer
1178,"HTML, CSS, React, MongoDB, Responsive Design, Express, Node.js, JavaScript",5,M.Tech IT,Microsoft Azure Fundamentals,"Blog CMS, E-commerce Frontend",Web Developer
1179,"Android, Swift, iOS, React Native, Flutter",2,B.Tech CSE,"Certified Ethical Hacker, TensorFlow Developer Certificate","ToDo App, Chat Application",Mobile App Developer
1180,"Requirement Gathering, SQL, Data Analysis, Power BI, Excel, UML",2,MCA,"Certified Ethical Hacker, Tableau Desktop Specialist, Microsoft Azure Fundamentals",Market Research Analysis,Business Analyst
1181,"Stakeholder Communication, Data Analysis, Tableau, Excel, Requirement Gathering, Power BI",7,B.Tech CSE,"Tableau Desktop Specialist, Certified Ethical Hacker","Product Requirement Doc, Sales Dashboard",Business Analyst
1182,"Computer Vision, Data Preprocessing, Deep Learning, PyTorch, Python, NLP, Machine Learning, TensorFlow",10,B.Tech CSE,"TensorFlow Developer Certificate, Scrum Master, AWS Certified Solutions Architect","Chatbot Development, Image Classification",AI/ML Engineer
1183,"SQL, Stakeholder Communication, UML, Power BI, Tableau, Data Analysis",5,B.Sc Computer Science,"AWS Certified Solutions Architect, Scrum Master, React Certification",Sales Dashboard,Business Analyst
1184,"TensorFlow, Data Preprocessing, NLP, Machine Learning, Python, PyTorch, Deep Learning, Computer Vision",5,M.Tech IT,"Certified Ethical Hacker, TensorFlow Developer Certificate, Google Data Analytics",Object Detection System,AI/ML Engineer
1185,"HTML, CSS, MongoDB, Node.js, React, JavaScript, Express",0,B.E. Information Technology,DevOps Foundation,E-commerce Frontend,Web Developer
1186,"Algorithms, System Design, C++, SQL, Data Structures, Java",4,M.Tech IT,"Certified Ethical Hacker, Oracle SQL Expert","E-commerce Backend, REST API Development",Software Engineer
1187,"SQL, Data Analysis, Requirement Gathering, Stakeholder Communication, Tableau, Power BI, UML",6,MCA,"React Certification, Microsoft Azure Fundamentals","Market Research Analysis, Product Requirement Doc",Business Analyst
1188,"Requirement Gathering, Data Analysis, SQL, Power BI, Stakeholder Communication, UML, Tableau",10,MCA,"DevOps Foundation, Certified Ethical Hacker, TensorFlow Developer Certificate","Market Research Analysis, Sales Dashboard",Business Analyst
1189,"SQL, Power BI, Tableau, Stakeholder Communication, Excel, Data Analysis, UML",5,M.Tech IT,Scrum Master,"Market Research Analysis, Sales Dashboard",Business Analyst
1190,"C++, Algorithms, Java, Data Structures, System Design",6,B.E. Information Technology,Microsoft Azure Fundamentals,"REST API Development, E-commerce Backend",Software Engineer
1191,"React Native, Flutter, UI/UX Design, Swift, Java, iOS, Kotlin",10,MCA,"Certified Ethical Hacker, AWS Certified Solutions Architect, DevOps Foundation","Fitness Tracker, Chat Application",Mobile App Developer
1192,"AWS, Linux, Ansible, Docker, Monitoring Tools, Kubernetes, Terraform",10,B.Tech CSE,DevOps Foundation,"CI/CD Pipeline Setup, Infrastructure Automation",DevOps Engineer
1193,"Incident Response, SIEM, Network Security, Cryptography, Python",0,B.E. Information Technology,"DevOps Foundation, Google Data Analytics, React Certification","Security Audit, Vulnerability Assessment",Cybersecurity Analyst
1194,"R, Scikit-learn, Statistics, Data Visualization, Pandas, Python, Machine Learning, SQL",0,MCA,"Microsoft Azure Fundamentals, Scrum Master","Customer Segmentation, Sentiment Analysis",Data Scientist
1195,"HTML, Express, Node.js, Responsive Design, CSS",3,B.E. Information Technology,"TensorFlow Developer Certificate, React Certification, AWS Certified Solutions Architect","Portfolio Website, E-commerce Frontend",Web Developer
1196,"Data Structures, Git, System Design, Java, Algorithms, C++, SQL, Python",3,B.Tech CSE,"React Certification, Tableau Desktop Specialist, TensorFlow Developer Certificate",E-commerce Backend,Software Engineer
1197,"TensorFlow, NLP, Python, Data Preprocessing, Machine Learning, Computer Vision, PyTorch, Deep Learning",6,B.E. Information Technology,TensorFlow Developer Certificate,"Object Detection System, Chatbot Development",AI/ML Engineer
1198,"Data Modeling, Database Tuning, MySQL, Oracle, Backup and Recovery, SQL",10,B.Sc Computer Science,"TensorFlow Developer Certificate, Certified Ethical Hacker, React Certification",Database Optimization,Database Administrator
1199,"Statistics, Data Visualization, SQL, Machine Learning, Scikit-learn, Pandas",8,B.Tech CSE,"Microsoft Azure Fundamentals, Oracle SQL Expert, Certified Ethical Hacker",Sentiment Analysis,Data Scientist
1200,"Data Preprocessing, Deep Learning, Computer Vision, TensorFlow, Python, Machine Learning",9,M.Tech IT,Google Data Analytics,Image Classification,AI/ML Engineer
1201,"SQL, Tableau, Stakeholder Communication, Data Analysis, Excel, UML",8,B.Sc Computer Science,"Google Data Analytics, Microsoft Azure Fundamentals",Product Requirement Doc,Business Analyst
1202,"HTML, MongoDB, CSS, Responsive Design, Express, React, Node.js, JavaScript",2,MCA,"DevOps Foundation, Microsoft Azure Fundamentals","Blog CMS, Portfolio Website",Web Developer
1203,"Deep Learning, Computer Vision, NLP, Machine Learning, PyTorch, Python, TensorFlow",7,B.Tech CSE,"Certified Ethical Hacker, Tableau Desktop Specialist",Chatbot Development,AI/ML Engineer
1204,"Power BI, SQL, Requirement Gathering, Tableau, Stakeholder Communication, Data Analysis, Excel",1,M.Tech IT,Google Data Analytics,Market Research Analysis,Business Analyst
1205,"Terraform, AWS, Docker, Monitoring Tools, Linux, CI/CD, Ansible",2,B.Tech CSE,DevOps Foundation,CI/CD Pipeline Setup,DevOps Engineer
1206,"Oracle, Security, Database Tuning, MySQL, Data Modeling, NoSQL, Backup and Recovery",4,B.Tech CSE,"Scrum Master, Certified Ethical Hacker, Oracle SQL Expert",Database Optimization,Database Administrator
1207,"Penetration Testing, Python, SIEM, Incident Response, Network Security, Risk Assessment, Cryptography",3,B.Sc Computer Science,React Certification,Security Audit,Cybersecurity Analyst
1208,"Java, Kotlin, React Native, iOS, Flutter, UI/UX Design, Android",7,B.Tech CSE,Oracle SQL Expert,Chat Application,Mobile App Developer
1209,"React, CSS, MongoDB, JavaScript, HTML, Express, Node.js",6,B.Tech CSE,"AWS Certified Solutions Architect, Certified Ethical Hacker, TensorFlow Developer Certificate",Portfolio Website,Web Developer
1210,"Linux, Cloud Security, AWS, Azure, Terraform",8,B.Sc Computer Science,"Tableau Desktop Specialist, Google Data Analytics, AWS Certified Solutions Architect",Serverless Architecture,Cloud Engineer
